PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22496909","Stimulus-related independent component and voxel-wise analysis of human brain activity during free viewing of a feature film","Lahnakoski JM, Salmi J, Jääskeläinen IP, Lampinen J, Glerean E, Tikka P, Sams M.","PLoS One. 2012;7(4):e35215. doi: 10.1371/journal.pone.0035215. Epub 2012 Apr 5.","Lahnakoski JM","PLoS One","2012","2012/04/13","PMC3320648","","10.1371/journal.pone.0035215"
"22432905","Functional cliques in the amygdala and related brain networks driven by fear assessment acquired during movie viewing","Kinreich S, Intrator N, Hendler T.","Brain Connect. 2011;1(6):484-95. doi: 10.1089/brain.2011.0061. Epub 2012 Mar 9.","Kinreich S","Brain Connect","2011","2012/03/22","","","10.1089/brain.2011.0061"
"21945275","Reconstructing visual experiences from brain activity evoked by natural movies","Nishimoto S, Vu AT, Naselaris T, Benjamini Y, Yu B, Gallant JL.","Curr Biol. 2011 Oct 11;21(19):1641-6. doi: 10.1016/j.cub.2011.08.031. Epub 2011 Sep 22.","Nishimoto S","Curr Biol","2011","2011/09/28","PMC3326357","NIHMS319652","10.1016/j.cub.2011.08.031"
"21925216","Data-based functional template for sorting independent components of fMRI activity","Malinen S, Hari R.","Neurosci Res. 2011 Dec;71(4):369-76. doi: 10.1016/j.neures.2011.08.014. Epub 2011 Sep 10.","Malinen S","Neurosci Res","2011","2011/09/20","","","10.1016/j.neures.2011.08.014"
"21775952","Brain imaging investigation of the neural correlates of observing virtual social interactions","Sung K, Dolcos S, Flor-Henry S, Zhou C, Gasior C, Argo J, Dolcos F.","J Vis Exp. 2011 Jul 6;(53):e2379. doi: 10.3791/2379.","Sung K","J Vis Exp","2011","2011/07/22","PMC3196171","","10.3791/2379"
"21248113","Spontaneous action representation in smokers when watching movie characters smoke","Wagner DD, Dal Cin S, Sargent JD, Kelley WM, Heatherton TF.","J Neurosci. 2011 Jan 19;31(3):894-8. doi: 10.1523/JNEUROSCI.5174-10.2011.","Wagner DD","J Neurosci","2011","2011/01/21","PMC3816361","NIHMS521385","10.1523/JNEUROSCI.5174-10.2011"
"21126593","Stress-induced reduction in reward-related prefrontal cortex function","Ossewaarde L, Qin S, Van Marle HJ, van Wingen GA, Fernández G, Hermans EJ.","Neuroimage. 2011 Mar 1;55(1):345-52. doi: 10.1016/j.neuroimage.2010.11.068. Epub 2010 Nov 29.","Ossewaarde L","Neuroimage","2011","2010/12/04","","","10.1016/j.neuroimage.2010.11.068"
"20955802","Impact of transient emotions on functional connectivity during subsequent resting state: a wavelet correlation approach","Eryilmaz H, Van De Ville D, Schwartz S, Vuilleumier P.","Neuroimage. 2011 Feb 1;54(3):2481-91. doi: 10.1016/j.neuroimage.2010.10.021. Epub 2010 Oct 16.","Eryilmaz H","Neuroimage","2011","2010/10/20","","","10.1016/j.neuroimage.2010.10.021"
"20850240","Influence of attention focus on neural activity in the human spinal cord during thermal sensory stimulation","Stroman PW, Coe BC, Munoz DP.","Magn Reson Imaging. 2011 Jan;29(1):9-18. doi: 10.1016/j.mri.2010.07.012. Epub 2010 Sep 17.","Stroman PW","Magn Reson Imaging","2011","2010/09/21","","","10.1016/j.mri.2010.07.012"
"20579829","Integration of EEG source imaging and fMRI during continuous viewing of natural movies","Whittingstall K, Bartels A, Singh V, Kwon S, Logothetis NK.","Magn Reson Imaging. 2010 Oct;28(8):1135-42. doi: 10.1016/j.mri.2010.03.042. Epub 2010 Jun 25.","Whittingstall K","Magn Reson Imaging","2010","2010/06/29","","","10.1016/j.mri.2010.03.042"
