PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29486325","Consistency and similarity of MEG- and fMRI-signal time courses during movie viewing","Lankinen K, Saari J, Hlushchuk Y, Tikka P, Parkkonen L, Hari R, Koskinen M.","Neuroimage. 2018 Jun;173:361-369. doi: 10.1016/j.neuroimage.2018.02.045. Epub 2018 Feb 24.","Lankinen K","Neuroimage","2018","2018/02/28","","","10.1016/j.neuroimage.2018.02.045"
"28545933","Extracting multidimensional stimulus-response correlations using hybrid encoding-decoding of neural activity","Dmochowski JP, Ki JJ, DeGuzman P, Sajda P, Parra LC.","Neuroimage. 2018 Oct 15;180(Pt A):134-146. doi: 10.1016/j.neuroimage.2017.05.037. Epub 2017 May 22.","Dmochowski JP","Neuroimage","2018","2017/05/27","","","10.1016/j.neuroimage.2017.05.037"
"28219725","Planar implantable sensor for in vivo measurement of cellular oxygen metabolism in brain tissue","Tsytsarev V, Akkentli F, Pumbo E, Tang Q, Chen Y, Erzurumlu RS, Papkovsky DB.","J Neurosci Methods. 2017 Apr 1;281:1-6. doi: 10.1016/j.jneumeth.2017.02.005. Epub 2017 Feb 20.","Tsytsarev V","J Neurosci Methods","2017","2017/02/22","PMC5407460","NIHMS855718","10.1016/j.jneumeth.2017.02.005"
"27921074","Initial performance studies of a wearable brain positron emission tomography camera based on autonomous thin-film digital Geiger avalanche photodiode arrays","Schmidtlein CR, Turner JN, Thompson MO, Mandal KC, Häggström I, Zhang J, Humm JL, Feiglin DH, Krol A.","J Med Imaging (Bellingham). 2017 Jan;4(1):011003. doi: 10.1117/1.JMI.4.1.011003. Epub 2016 Nov 22.","Schmidtlein CR","J Med Imaging (Bellingham)","2017","2016/12/07","PMC5118557","","10.1117/1.JMI.4.1.011003"
"27792310","Polymer Thin Films with Tunable Acetylcholine-like Functionality Enable Long-Term Culture of Primary Hippocampal Neurons","Yu SB, Baek J, Choi M, Oh Y, Lee HR, Yu SJ, Lee E, Sohn JW, Im SG, Jon S.","ACS Nano. 2016 Nov 22;10(11):9909-9918. doi: 10.1021/acsnano.6b03527. Epub 2016 Nov 1.","Yu SB","ACS Nano","2016","2016/11/02","","","10.1021/acsnano.6b03527"
"26429501","3D Light-Sheet Fluorescence Microscopy of Cranial Neurons and Vasculature during Zebrafish Embryogenesis","Park OK, Kwak J, Jung YJ, Kim YH, Hong HS, Hwang BJ, Kwon SH, Kee Y.","Mol Cells. 2015 Nov;38(11):975-81. doi: 10.14348/molcells.2015.0160. Epub 2015 Oct 2.","Park OK","Mol Cells","2015","2015/10/03","PMC4673412","","10.14348/molcells.2015.0160"
"26257660","Mental Imagery and Post-Traumatic Stress Disorder: A Neuroimaging and Experimental Psychopathology Approach to Intrusive Memories of Trauma","Clark IA, Mackay CE.","Front Psychiatry. 2015 Jul 22;6:104. doi: 10.3389/fpsyt.2015.00104. eCollection 2015.","Clark IA","Front Psychiatry","2015","2015/08/11","PMC4510312","","10.3389/fpsyt.2015.00104"
"25734990","Sensitization of trigeminal brainstem pathways in a model for tear deficient dry eye","Rahman M, Okamoto K, Thompson R, Katagiri A, Bereiter DA.","Pain. 2015 May;156(5):942-950. doi: 10.1097/j.pain.0000000000000135.","Rahman M","Pain","2015","2015/03/04","PMC4402282","NIHMS662996","10.1097/j.pain.0000000000000135"
"24324432","A hardware model of the auditory periphery to transduce acoustic signals into neural activity","Tateno T, Nishikawa J, Tsuchioka N, Shintaku H, Kawano S.","Front Neuroeng. 2013 Nov 26;6:12. doi: 10.3389/fneng.2013.00012. eCollection 2013.","Tateno T","Front Neuroeng","2013","2013/12/11","PMC3840400","","10.3389/fneng.2013.00012"
"24216250","DataHigh: graphical user interface for visualizing and interacting with high-dimensional neural activity","Cowley BR, Kaufman MT, Butler ZS, Churchland MM, Ryu SI, Shenoy KV, Yu BM.","J Neural Eng. 2013 Dec;10(6):066012. doi: 10.1088/1741-2560/10/6/066012. Epub 2013 Nov 12.","Cowley BR","J Neural Eng","2013","2013/11/13","PMC3950756","NIHMS543489","10.1088/1741-2560/10/6/066012"
"23314730","A saliency-based bottom-up visual attention model for dynamic scenes analysis","Ramirez-Moreno DF, Schwartz O, Ramirez-Villegas JF.","Biol Cybern. 2013 Apr;107(2):141-60. doi: 10.1007/s00422-012-0542-2. Epub 2013 Jan 12.","Ramirez-Moreno DF","Biol Cybern","2013","2013/01/15","","","10.1007/s00422-012-0542-2"
"23033438","Regenerative scaffold electrodes for peripheral nerve interfacing","Clements IP, Mukhatyar VJ, Srinivasan A, Bentley JT, Andreasen DS, Bellamkonda RV.","IEEE Trans Neural Syst Rehabil Eng. 2013 Jul;21(4):554-66. doi: 10.1109/TNSRE.2012.2217352. Epub 2012 Sep 28.","Clements IP","IEEE Trans Neural Syst Rehabil Eng","2013","2012/10/04","","","10.1109/TNSRE.2012.2217352"
"22593737","The effect of moderate acute psychological stress on working memory-related neural activity is modulated by a genetic variation in catecholaminergic function in humans","Qin S, Cousijn H, Rijpkema M, Luo J, Franke B, Hermans EJ, Fernández G.","Front Integr Neurosci. 2012 May 11;6:16. doi: 10.3389/fnint.2012.00016. eCollection 2012.","Qin S","Front Integr Neurosci","2012","2012/05/18","PMC3350069","","10.3389/fnint.2012.00016"
"22432905","Functional cliques in the amygdala and related brain networks driven by fear assessment acquired during movie viewing","Kinreich S, Intrator N, Hendler T.","Brain Connect. 2011;1(6):484-95. doi: 10.1089/brain.2011.0061. Epub 2012 Mar 9.","Kinreich S","Brain Connect","2011","2012/03/22","","","10.1089/brain.2011.0061"
"21925216","Data-based functional template for sorting independent components of fMRI activity","Malinen S, Hari R.","Neurosci Res. 2011 Dec;71(4):369-76. doi: 10.1016/j.neures.2011.08.014. Epub 2011 Sep 10.","Malinen S","Neurosci Res","2011","2011/09/20","","","10.1016/j.neures.2011.08.014"
"20665720","Invariance of firing rate and field potential dynamics to stimulus modulation rate in human auditory cortex","Mukamel R, Nir Y, Harel M, Arieli A, Malach R, Fried I.","Hum Brain Mapp. 2011 Aug;32(8):1181-93. doi: 10.1002/hbm.21100. Epub 2010 Jul 27.","Mukamel R","Hum Brain Mapp","2011","2010/07/29","PMC3085610","NIHMS261120","10.1002/hbm.21100"
"19812314","Synchronous with your feelings: sensorimotor {gamma} band and empathy for pain","Betti V, Zappasodi F, Rossini PM, Aglioti SM, Tecchio F.","J Neurosci. 2009 Oct 7;29(40):12384-92. doi: 10.1523/JNEUROSCI.2759-09.2009.","Betti V","J Neurosci","2009","2009/10/09","PMC6665091","","10.1523/JNEUROSCI.2759-09.2009"
"19420007","Function-based intersubject alignment of human cortical anatomy","Sabuncu MR, Singer BD, Conroy B, Bryan RE, Ramadge PJ, Haxby JV.","Cereb Cortex. 2010 Jan;20(1):130-40. doi: 10.1093/cercor/bhp085.","Sabuncu MR","Cereb Cortex","2010","2009/05/08","PMC2792192","","10.1093/cercor/bhp085"
"19340121","Three-dimensional noninvasive imaging of the vasculature in the mouse brain using a high resolution photoacoustic scanner","Laufer J, Zhang E, Raivich G, Beard P.","Appl Opt. 2009 Apr 1;48(10):D299-306. doi: 10.1364/ao.48.00d299.","Laufer J","Appl Opt","2009","2009/04/03","","","10.1364/ao.48.00d299"
"18291679","Seeing the pain of others while being in pain: a laser-evoked potentials study","Valeriani M, Betti V, Le Pera D, De Armas L, Miliucci R, Restuccia D, Avenanti A, Aglioti SM.","Neuroimage. 2008 Apr 15;40(3):1419-28. doi: 10.1016/j.neuroimage.2007.12.056. Epub 2008 Jan 11.","Valeriani M","Neuroimage","2008","2008/02/23","","","10.1016/j.neuroimage.2007.12.056"
"17360679","Impact of spatiotemporally correlated images on the structure of memory","Bernacchia A, Amit DJ.","Proc Natl Acad Sci U S A. 2007 Feb 27;104(9):3544-9. doi: 10.1073/pnas.0611395104. Epub 2007 Feb 21.","Bernacchia A","Proc Natl Acad Sci U S A","2007","2007/03/16","PMC1805598","","10.1073/pnas.0611395104"
"15016991","Intersubject synchronization of cortical activity during natural vision","Hasson U, Nir Y, Levy I, Fuhrmann G, Malach R.","Science. 2004 Mar 12;303(5664):1634-40. doi: 10.1126/science.1089506.","Hasson U","Science","2004","2004/03/16","","","10.1126/science.1089506"
"11863201","Neural activity associated with distinguishing concurrent auditory objects","Alain C, Schuler BM, McDonald KL.","J Acoust Soc Am. 2002 Feb;111(2):990-5. doi: 10.1121/1.1434942.","Alain C","J Acoust Soc Am","2002","2002/02/28","","","10.1121/1.1434942"
"1515510","Rate coherence and event coherence in the visual cortex: a neuronal model of object recognition","Neven H, Aertsen A.","Biol Cybern. 1992;67(4):309-22. doi: 10.1007/BF02414887.","Neven H","Biol Cybern","1992","1992/01/01","","","10.1007/BF02414887"
